#Position (bp)	insert size
21038.0	0.0
21113.0	216.15
21188.0	198.05405405405406
21263.0	173.14285714285714
21338.0	231.28947368421052
21413.0	227.1614906832298
21488.0	193.7674418604651
21563.0	172.70454545454547
21638.0	222.375
21713.0	211.0
21788.0	196.75438596491227
21863.0	165.22222222222223
21938.0	216.0
22013.0	206.4
22088.0	205.8181818181818
22163.0	170.0
22238.0	220.04
22313.0	215.98326359832635
22388.0	198.03191489361703
22463.0	171.47407407407408
22538.0	105.5
22613.0	193.0
22688.0	195.5
22763.0	0.0
22838.0	221.35123367198838
22913.0	202.3897435897436
22988.0	186.75071633237823
23063.0	161.95890410958904
23138.0	218.43589743589743
23213.0	218.48993288590603
23288.0	194.61888111888112
23363.0	170.87912087912088
23438.0	220.02902374670185
23513.0	214.13861386138615
23588.0	194.33050847457628
23663.0	170.54646840148698
23738.0	0.0
23813.0	216.96296296296296
23888.0	201.41176470588235
23963.0	184.33333333333334
24038.0	158.0
24113.0	219.3223388305847
24188.0	208.6044142614601
24263.0	177.98039215686273
24338.0	149.49019607843138
24413.0	197.0897435897436
24488.0	208.1851851851852
24563.0	186.77272727272728
24638.0	166.8
24713.0	226.31176470588235
24788.0	207.24588235294118
24863.0	182.56846473029046
24938.0	160.92045454545453
25013.0	227.1904761904762
25088.0	210.96296296296296
25163.0	171.52631578947367
25238.0	155.0
25313.0	223.0533498759305
25388.0	208.33243243243243
25463.0	178.88029197080292
25538.0	154.8
25613.0	129.875
25688.0	242.4
25763.0	0.0
25838.0	156.0
25913.0	209.53521126760563
25988.0	215.2888888888889
26063.0	195.30526315789473
26138.0	169.32608695652175
26213.0	205.0
26288.0	244.44444444444446
26363.0	199.14285714285714
26438.0	160.66666666666666
26513.0	233.69035532994923
26588.0	224.20829493087558
26663.0	196.19001386962552
26738.0	168.08273381294964
26813.0	212.6027397260274
26888.0	224.4909090909091
26963.0	194.14965986394557
27038.0	169.17177914110428
27113.0	190.69230769230768
27188.0	226.8828125
27263.0	204.41379310344828
27338.0	166.21052631578948
27413.0	200.0
27488.0	237.33333333333334
27563.0	0.0
27638.0	191.0
27713.0	0.0
27788.0	211.75401069518716
27863.0	207.65536723163842
27938.0	179.25503355704697
28013.0	164.19402985074626
28088.0	240.60194174757282
28163.0	216.3941605839416
28238.0	184.3684210526316
28313.0	158.54545454545453
28388.0	229.91176470588235
28463.0	211.24358974358975
28538.0	184.2549019607843
28613.0	181.0
28688.0	169.8
28763.0	86.02941176470588
28838.0	167.0
28913.0	173.66666666666666
28988.0	226.42362093352193
29063.0	214.82144280589876
29138.0	191.16588050314465
29213.0	162.4338747099768
29288.0	53.55555555555556
29363.0	173.16666666666666
29438.0	192.66666666666666
29513.0	224.37873754152824
29588.0	200.59475218658892
29663.0	177.68839103869655
29738.0	146.77586206896552
29813.0	47.0
29877.0	40.5
