date	clade
2020/07/14	A2a
2020/07/14	A2a
2020/07/14	A2a
2020/07/14	A2a
2020/07/14	A2a
2020/07/14	A2a
2020/07/14	A2a
2020/07/15	A2a
2020/07/15	A2a
2020/07/15	A2a
2020/07/15	A2a
2020/07/15	A2a
2020/07/06	A2a
2020/07/06	A2a
2020/09/03	A2a
2020/09/01	A2a
2020/04/05	A2a
2020/04/24	I/A3i
2020/05/10	A2a
2020/04/28	B4
2020/04/27	B4
2020/05/04	I/A3i
2020/05/07	A2a
2020/05/06	A2a
2020/05/05	A2a
2020/05/09	A2a
2020/05/10	A2a
2020/05/03	I/A3i
2020/04/23	B4
2020/05/03	A2a
2020/05/01	I/A3i
2020/05/02	A2a
2020/05/03	A2a
2020/05/03	I/A3i
2020/05/03	A2a
2020/05/03	I/A3i
2020/05/03	A2a
2020/05/02	A2a
2020/04/27	B4
2020/04/26	A2a
2020/05/02	A2a
2020/05/02	A2a
2020/05/02	A2a
2020/05/02	A2a
2020/05/02	A2a
2020/05/02	A2a
2020/05/02	A2a
2020/05/02	A2a
2020/05/02	A2a
2020/05/02	A2a
2020/04/26	B4
2020/05/02	A2a
2020/05/24	A2a
2020/05/24	A2a
2020/05/24	A2a
2020/05/24	A2a
2020/05/24	A2a
2020/05/24	A2a
2020/05/24	A2a
2020/05/24	A2a
2020/05/24	A2a
2020/05/24	A2a
2020/05/24	A2a
2020/05/24	A2a
2020/05/24	A2a
2020/04/27	I/A3i
2020/05/24	A2a
2020/05/24	A2a
2020/05/24	A2a
2020/05/24	A2a
2020/05/05	A2a
2020/05/06	A2a
2020/05/06	A2a
2020/05/16	A2a
2020/05/16	A2a
2020/05/16	A2a
2020/05/17	A2a
2020/05/17	A2a
2020/05/17	A2a
2020/04/27	B4
2020/05/18	A2a
2020/05/18	A2a
2020/05/02	A2a
2020/05/02	A2a
2020/05/02	A2a
2020/04/27	A2a
2020/04/27	B4
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/04/26	I/A3i
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/06/05	A2a
2020/06/05	A2a
2020/06/05	A2a
2020/06/05	A2a
2020/06/05	A2a
2020/06/05	A2a
2020/06/05	A2a
2020/06/05	A2a
2020/06/05	A2a
2020/06/05	A2a
2020/06/05	A2a
2020/06/05	A2a
2020/06/03	A2a
2020/06/03	A2a
2020/06/03	A2a
2020/06/03	A2a
2020/06/03	A2a
2020/06/03	A2a
2020/04/26	A2a
2020/04/26	A2a
2020/04/26	A2a
2020/06/03	A2a
2020/06/03	A2a
2020/06/03	A2a
2020/06/03	A2a
2020/06/03	A2a
2020/06/03	A2a
2020/06/03	A2a
2020/06/03	A2a
2020/05/27	A2a
2020/06/03	A2a
2020/06/03	A2a
2020/06/03	A2a
2020/06/03	A2a
2020/06/05	A2a
2020/06/05	A2a
2020/06/05	A2a
2020/06/02	A2a
2020/04/26	A2a
2020/06/05	A2a
2020/06/05	A2a
2020/06/05	A2a
2020/06/05	A2a
2020/06/03	A2a
2020/06/03	A2a
2020/06/05	A2a
2020/06/05	A2a
2020/06/08	A2a
2020/06/08	A2a
2020/06/08	A2a
2020/06/08	A2a
2020/06/08	B4
2020/06/08	A2a
2020/04/05	A2a
2020/04/13	A2a
2020/04/26	A2a
2020/06/08	A2a
2020/06/08	A2a
2020/06/08	A2a
2020/06/05	A2a
2020/06/07	A2a
2020/06/07	A2a
2020/06/07	A2a
2020/06/07	A2a
2020/06/11	A2a
2020/06/11	A2a
2020/06/11	A2a
2020/06/11	A2a
2020/06/11	A2a
2020/06/11	B4
2020/06/11	A2a
2020/06/11	A2a
2020/06/11	A2a
2020/04/26	A2a
2020/06/11	A2a
2020/06/11	A2a
2020/06/11	Unassigned
2020/06/11	Unassigned
2020/06/11	A2a
2020/06/11	A2a
2020/06/05	A2a
2020/06/08	A2a
2020/06/08	A2a
2020/06/08	A2a
2020/06/08	A2a
2020/06/08	A2a
2020/06/08	A2a
2020/06/08	A2a
2020/06/08	A2a
2020/04/26	A2a
2020/06/05	A2a
2020/06/05	A2a
2020/06/08	A2a
2020/06/08	A2a
2020/06/08	A2a
2020/06/08	A2a
2020/06/08	A2a
2020/06/08	A2a
2020/06/08	A2a
2020/06/08	A2a
2020/06/11	A2a
2020/06/11	A2a
2020/06/11	A2a
2020/06/11	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/04/26	A2a
2020/06/11	A2a
2020/06/11	A2a
2020/06/11	A2a
2020/06/11	A2a
2020/06/11	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/11	A2a
2020/06/05	A2a
2020/06/08	A2a
2020/06/14	A2a
2020/06/14	A2a
2020/06/14	A2a
2020/06/14	A2a
2020/06/19	A2a
2020/06/19	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/04/26	I/A3i
2020/04/26	A2a
2020/04/26	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/11	B4
2020/04/26	A2a
2020/06/11	A2a
2020/06/11	A2a
2020/06/11	A2a
2020/06/11	A2a
2020/06/11	A2a
2020/06/12	A2a
2020/06/12	B4
2020/06/13	A2a
2020/06/13	A2a
2020/06/13	A2a
2020/06/13	A2a
2020/06/13	A2a
2020/06/13	A2a
2020/06/13	A2a
2020/06/13	A2a
2020/06/13	A2a
2020/04/26	A2a
2020/06/13	A2a
2020/06/13	A2a
2020/06/13	A2a
2020/06/13	B4
2020/06/13	A2a
2020/06/13	B4
2020/06/13	B4
2020/06/13	A2a
2020/06/13	A2a
2020/06/13	A2a
2020/06/13	A2a
2020/06/13	A2a
2020/06/13	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/04/30	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/28	A2a
2020/06/30	A2a
